iter	Passed	Remaining
632	37702	21859
633	37761	21799
634	37821	21740
635	37880	21680
636	37936	21618
637	37999	21560
638	38063	21504
639	38118	21441
640	38173	21379
641	38232	21319
642	38294	21261
643	38353	21201
644	38419	21145
645	38476	21084
646	38543	21029
647	38600	20968
648	38660	20908
649	38718	20848
650	38775	20787
651	38836	20728
652	38899	20670
653	38958	20611
654	39016	20550
655	39072	20489
656	39126	20426
657	39188	20368
658	39248	20308
659	39307	20249
660	39375	20194
661	39432	20133
662	39488	20071
663	39554	20015
664	39611	19954
665	39670	19894
666	39729	19835
667	39786	19774
668	39845	19714
669	39901	19652
670	39963	19594
671	40018	19533
672	40073	19471
673	40130	19410
674	40195	19353
675	40255	19294
676	40308	19231
677	40365	19170
678	40442	19119
679	40496	19057
680	40550	18995
681	40606	18933
682	40663	18873
683	40720	18812
684	40799	18761
685	40855	18700
686	40913	18640
687	40973	18580
688	41030	18520
689	41086	18459
690	41145	18399
691	41203	18339
692	41259	18278
693	41316	18217
694	41370	18155
695	41430	18096
696	41490	18036
697	41549	17977
698	41608	17917
699	41671	17859
700	41727	17798
701	41784	17737
702	41847	17679
703	41908	17620
704	41966	17560
705	42027	17501
706	42089	17442
707	42158	17387
708	42226	17331
709	42290	17273
710	42359	17217
711	42420	17158
712	42482	17100
713	42539	17039
714	42599	16980
715	42665	16923
716	42725	16863
717	42785	16804
718	42846	16745
719	42903	16684
720	42957	16622
721	43016	16563
722	43074	16502
723	43135	16443
724	43194	16384
725	43250	16323
726	43310	16263
727	43367	16203
728	43425	16143
729	43491	16085
730	43544	16024
731	43604	15964
732	43663	15904
733	43720	15844
734	43780	15784
735	43838	15724
736	43894	15663
737	43962	15607
738	44022	15547
739	44082	15488
740	44138	15427
741	44198	15368
742	44255	15307
743	44317	15249
744	44376	15189
745	44433	15128
746	44492	15069
747	44554	15010
748	44609	14949
749	44667	14889
750	44724	14828
751	44775	14766
752	44832	14706
753	44893	14647
754	44955	14588
755	45014	14528
756	45069	14467
757	45127	14407
758	45188	14348
759	45247	14288
760	45305	14228
761	45362	14168
762	45423	14109
763	45481	14049
764	45538	13988
765	45595	13928
766	45650	13867
767	45708	13807
768	45774	13750
769	45843	13693
770	45900	13633
771	45954	13571
772	46011	13511
773	46068	13451
774	46125	13391
775	46182	13330
776	46241	13271
777	46299	13211
778	46355	13150
779	46420	13092
780	46492	13036
781	46561	12979
782	46625	12921
783	46689	12863
784	46756	12805
